ex15.mat,6.395431083144225e-07,0,176575,Windows
cfd1.mat,8.927460654905866e-14,3,181838,Windows
shallow_water1.mat,2.377191529661992e-16,0,576848,Windows
cfd2.mat,3.5329484035521196e-13,5,144510,Windows
parabolic_fem.mat,1.0511551038801366e-12,3,639212,Windows
apache2.mat,4.3889396029440505e-11,14,65560,Windows
G3_circuit.mat,3.576683129823553e-12,17,517982,Windows
ex15.mat,6.395431083144225e-07,0,146499,Windows
cfd1.mat,8.927460654905866e-14,2,377539,Windows
shallow_water1.mat,2.377191529661992e-16,0,412177,Windows
cfd2.mat,3.5329484035521196e-13,5,184684,Windows
parabolic_fem.mat,1.0511551038801366e-12,3,644606,Windows
apache2.mat,4.3889396029440505e-11,13,339914,Windows
G3_circuit.mat,3.576683129823553e-12,17,401132,Windows
ex15.mat,6.395431083144225e-07,0,125981,Windows
cfd1.mat,8.927460654905866e-14,3,20638,Windows
shallow_water1.mat,2.377191529661992e-16,0,574367,Windows
ex15.mat,6.395431083144225e-07,0,61999,Windows
cfd1.mat,8.927460654905866e-14,2,783550,Windows
shallow_water1.mat,2.377191529661992e-16,0,562462,Windows
cfd2.mat,3.5329484035521196e-13,6,436092,Windows
parabolic_fem.mat,1.0511551038801366e-12,3,977423,Windows
apache2.mat,4.3889396029440505e-11,14,233230,Windows
G3_circuit.mat,3.576683129823553e-12,35,373512,Windows
ex15.mat,6.395431083144225e-07,0,97779,Windows
cfd1.mat,8.927460654905866e-14,2,809129,Windows
shallow_water1.mat,2.377191529661992e-16,0,512863,Windows
cfd2.mat,3.5329484035521196e-13,5,247679,Windows
parabolic_fem.mat,1.0511551038801366e-12,4,419872,Windows
apache2.mat,4.3889396029440505e-11,14,826924,Windows
G3_circuit.mat,3.576683129823553e-12,20,395810,Windows
ex15.mat,6.395431083144225e-07,0,93248,Windows
cfd1.mat,8.927460654905866e-14,2,893663,Windows
shallow_water1.mat,2.377191529661992e-16,0,591232,Windows
ex15.mat,6.395431083144225e-07,0,84815,Windows
